1.00000000	0.00000000
0.99318614	0.00376200
0.98078209	0.00962054
0.96392032	0.01740380
0.94225239	0.02663052
0.91618771	0.03764925
0.88576843	0.04984826
0.85139265	0.06335894
0.81330632	0.07782679
0.77180589	0.09290867
0.72719950	0.10817714
0.68016433	0.12418197
0.63084442	0.13983087
0.57978078	0.15512560
0.52738420	0.16957455
0.47417556	0.18299865
0.42050850	0.19446190
0.36686627	0.20318964
0.31370946	0.20642067
0.26221176	0.20187077
0.21363016	0.19158809
0.16889249	0.17677302
0.12871569	0.15848552
0.09340372	0.13821236
0.06359111	0.11644099
0.03993238	0.09387853
0.02179720	0.06992504
0.00962741	0.04505016
0.00306340	0.02404640
0.00050415	0.00891732
0.00000000	0.00000000
0.00032427	-0.00806088
0.00270492	-0.02048088
0.01023840	-0.03521292
0.02712836	-0.04868147
0.05088526	-0.06039859
0.08009622	-0.06983335
0.11392015	-0.07717802
0.15173858	-0.08241889
0.19297581	-0.08577260
0.23711215	-0.08743912
0.28366619	-0.08746238
0.33204404	-0.08424775
0.38169290	-0.07875563
0.43212511	-0.07159056
0.48287195	-0.06321578
0.53352294	-0.05426619
0.58354703	-0.04463909
0.63265481	-0.03547644
0.68033240	-0.02661983
0.72617962	-0.01848502
0.76981325	-0.01154060
0.81080082	-0.00584297
0.84875816	-0.00169952
0.88325564	0.00111633
0.91392397	0.00243334
0.94044614	0.00219637
0.96251706	0.00202235
0.97985475	0.00117898
0.99236472	0.00050915
1.00000000	0.00000000
